entity,domain,pos_count,neg_count,neu_count,total_mentions,bias_score,polarity
Dragnea,www.mediafax.ro,0,6,4,10,-0.6,0.6
Fifor,www.mediafax.ro,0,1,0,1,-1.0,1.0
Ilie Sârbu,www.mediafax.ro,0,0,2,2,0.0,0.0
Ioan Rus,www.mediafax.ro,0,2,0,2,-1.0,1.0
Liviu Dragnea,www.mediafax.ro,0,10,8,18,-0.5555555555555556,0.5555555555555556
Mihai Fifor,www.mediafax.ro,0,1,2,3,-0.3333333333333333,0.3333333333333333
Sârbu,www.mediafax.ro,0,0,2,2,0.0,0.0
candidați,www.mediafax.ro,0,2,6,8,-0.25,0.25
lider,www.mediafax.ro,4,53,85,142,-0.34507042253521125,0.34507042253521125
ministru,www.mediafax.ro,0,31,38,69,-0.4492753623188406,0.4492753623188406
om politic,www.mediafax.ro,0,7,1,8,-0.875,0.875
parlamentar,www.mediafax.ro,0,24,15,39,-0.6153846153846154,0.6153846153846154
președinte,www.mediafax.ro,8,65,150,223,-0.2556053811659193,0.2556053811659193
Klaus Iohannis,www.mediafax.ro,0,19,47,66,-0.2878787878787879,0.2878787878787879
Adrian Bibu,primanews.ro,0,0,1,1,0.0,0.0
Adrian Cozma,primanews.ro,0,0,2,2,0.0,0.0
Adrian Mocanu,primanews.ro,0,0,1,1,0.0,0.0
Alexandria,primanews.ro,0,0,1,1,0.0,0.0
Alexandru Popa,primanews.ro,0,0,1,1,0.0,0.0
Alin Bogdan Drăgulin,primanews.ro,0,0,1,1,0.0,0.0
Andrei Carabelea,primanews.ro,0,0,1,1,0.0,0.0
Arad,primanews.ro,0,0,3,3,0.0,0.0
Bacău,primanews.ro,0,0,2,2,0.0,0.0
Baia Mare,primanews.ro,0,1,1,2,-0.5,0.5
Bistrița Năsăud,primanews.ro,0,0,1,1,0.0,0.0
Brăila,primanews.ro,0,0,3,3,0.0,0.0
Buzău,primanews.ro,0,0,4,4,0.0,0.0
Ciprian Ciucu,primanews.ro,0,0,2,2,0.0,0.0
Costel Alexe,primanews.ro,0,0,1,1,0.0,0.0
Călărași,primanews.ro,0,0,1,1,0.0,0.0
Dan Tică,primanews.ro,0,0,1,1,0.0,0.0
Dragoș Costin Telehuz,primanews.ro,0,0,1,1,0.0,0.0
Dragoș Fănică Ciobotaru,primanews.ro,0,0,1,1,0.0,0.0
Florin Birta,primanews.ro,0,0,1,1,0.0,0.0
Gabriel Ștețco,primanews.ro,0,0,1,1,0.0,0.0
Galați,primanews.ro,0,1,6,7,-0.14285714285714285,0.14285714285714285
George Cristian Tuță,primanews.ro,0,0,1,1,0.0,0.0
George Lazăr,primanews.ro,0,0,1,1,0.0,0.0
George Stângă,primanews.ro,0,0,2,2,0.0,0.0
Haralambie Epure,primanews.ro,0,0,1,1,0.0,0.0
Ialomița,primanews.ro,0,0,1,1,0.0,0.0
Iași,primanews.ro,0,0,1,1,0.0,0.0
Ionel Bogdan,primanews.ro,0,1,3,4,-0.25,0.25
