domain,pos_count,neg_count,neu_count,bias_score,polarity,pos_tfidf,neg_tfidf,total_mentions,pos_rate,neg_rate,neu_rate,entropy,PC1,PC2,Cluster
a1.ro,203,1198,3161,-0.20997567517551446,0.28366103224501227,282.3178177564079,1231.4362708721437,4562,0.04449802718106094,0.2626041209995616,0.6928978518193775,0.7438269423887933,-1.3150719464566836,0.8071922193034082,0
adevarul.ro,632,3682,8491,-0.2301957211341204,0.2938064349158691,609.1998564675788,2480.1726542910696,12805,0.04935572042171027,0.28754392815306523,0.6631003514252245,0.7793063438807697,0.9638626267425283,2.6453240085173593,2
agerpres.ro,267,575,2874,-0.10226605598828006,0.16854450596551446,143.3700158562191,289.80916137299613,3716,0.07185145317545748,0.1547362755651238,0.7734122712594187,0.6766618706765324,-3.485718159591446,0.6719630380865224,0
observatornews.ro,211,1032,3012,-0.1779145562793702,0.28443519044337906,204.72014299971815,536.1303975928407,4255,0.04958871915393655,0.24253819036427732,0.7078730904817861,0.7371061554446834,-1.8513787308456624,0.3767173280124487,0
pressone.ro,697,6261,8391,-0.3227851595873165,0.39102797827903196,923.8188312718178,6066.940116899682,15349,0.04541012443807414,0.40790931005277214,0.5466805655091537,0.8363208098134258,4.5777061078231265,3.6785240518175653,2
primanews.ro,306,767,2564,-0.13985059778238187,0.27199710281929645,268.60626353149337,425.97634068378005,3637,0.08413527632664283,0.2108880945834479,0.7049766290899092,0.7829477971417564,-1.5382976071744328,-0.6370587097530538,0
recorder.ro,721,4051,6775,-0.26246948475339543,0.3440202267693124,904.2109796443663,3510.362388899331,11547,0.062440460725729625,0.35082705464622843,0.586732484628042,0.8534969182591581,2.9735842879537175,2.0889794428657034,2
snoop.ro,140,1722,4097,-0.24787876313158153,0.28351008883259365,195.8925626628178,1960.0840007050942,5959,0.023493874811209934,0.2889746601778822,0.6875314650109079,0.704445803388259,-1.3554454767686765,1.7902236498469768,0
stirileprotv.ro,205,1278,2850,-0.2103697919574821,0.2957935040578113,208.55874738037267,692.1047391389511,4333,0.04731133164089545,0.2949457650588507,0.6577429033002539,0.7800207928520355,-1.1443540178534657,0.04255685149950433,0
www.activenews.ro,281,1837,1440,-0.42333433788738656,0.5421917236903251,418.81412345280336,1822.882954550251,3558,0.0789769533445756,0.516301292861158,0.40472175379426645,0.9078927081364507,3.200860886684091,-2.691831050018241,1
www.aktual24.ro,401,2518,4088,-0.3250238476563541,0.3832491411041371,345.30722046914445,2138.792499661816,7007,0.05722848579991437,0.3593549307835022,0.5834165834165834,0.84586987187211,1.19527501375131,-0.057127047563184846,0
www.antena3.ro,311,1304,2931,-0.2198966919246865,0.32375512460319383,253.0680001626424,702.2449355072729,4546,0.06841179058512978,0.28684557853057635,0.6447426308842938,0.8246909417745889,-0.49657493052825363,-0.7347171886121294,0
www.b1tv.ro,127,734,1089,-0.3279877076723915,0.4145855112330384,94.75704025820642,529.3402834235076,1950,0.06512820512820512,0.3764102564102564,0.5584615384615385,0.8710149788873877,0.1889275536807186,-2.3448424213460486,1
www.comisarul.ro,307,2202,4377,-0.2797633415465526,0.3448737319834035,316.8468361563585,1654.7432221281736,6886,0.044583212314841705,0.31977926227127507,0.6356375254138832,0.7912840449719285,0.08386541113562722,0.6523811944741735,0
www.cotidianul.ro,243,1600,2093,-0.37473227644397805,0.45283417357757044,222.03425224841953,1117.2459954863298,3936,0.06173780487804878,0.4065040650406504,0.5317581300813008,0.8736909551274725,1.1836620483240037,-1.813319405682482,1
www.digi24.ro,335,1729,3287,-0.24561698012016683,0.3401887585240571,308.1470048996406,973.3127727343078,5351,0.06260512053821715,0.3231171743599327,0.6142777051018501,0.8378540585140526,0.12191594104095212,-0.5387423042346818,0
www.euronews.ro,208,1219,3801,-0.20322673867952484,0.24300896669924166,127.42054840327987,587.1142317190969,5228,0.03978576893649579,0.23316755929609792,0.7270466717674062,0.699527336081588,-2.481191331555833,1.0948463597125202,0
www.g4media.ro,285,1725,3683,-0.24599071479997747,0.2826470975137155,189.99605643134427,1147.5816565939185,5693,0.05006147900930968,0.3030036887405586,0.6469348322501317,0.7934451964812664,-0.8122553336448953,0.2585975236346227,0
www.gandul.ro,384,1404,3757,-0.2119220334395442,0.29468870534764896,328.1779471607885,1009.3051832180164,5545,0.06925157799819658,0.25320108205590625,0.6775473399458972,0.796444920378067,-0.6906039426745739,0.025608287865615274,0
www.luju.ro,229,1809,1862,-0.37739466603061195,0.4700492625587018,246.26618869009917,1698.2430749319076,3900,0.05871794871794872,0.46384615384615385,0.4774358974358974,0.8757741361981155,1.8365695775634223,-1.7882231006683595,1
www.mediafax.ro,120,1226,2419,-0.27035995015944103,0.31972660111025036,109.04222817531728,800.7781457347735,3765,0.03187250996015936,0.32563081009296146,0.6424966799468792,0.759424313827941,-1.2871013839819103,0.12261989129695317,0
www.news.ro,282,1114,2783,-0.20541443478972798,0.3191215819558724,247.8291990520089,526.6412841469257,4179,0.0674802584350323,0.26657094998803543,0.6659487915769323,0.8050952848717308,-0.8807954823448894,-0.6379313130043505,0
www.realitatea.net,204,987,1306,-0.3270900433255796,0.4529850698136923,174.18713955194377,589.7833018255064,2497,0.0816980376451742,0.395274329195034,0.5230276331597917,0.9105001706152263,1.0957102805184855,-2.9776853581929528,1
www.romaniatv.net,358,2009,3921,-0.23589359306142946,0.3158466784436994,293.95830785128356,1050.930725301743,6288,0.05693384223918575,0.31949745547073793,0.6235687022900763,0.822222437178876,-0.08315139179725896,-0.03405594785788706,0
