bias_dim,singular_value
0,86.21570530789118
1,12.110373392238138
2,5.733423324317566
3,5.2046557003157764e-14
4,1.628377301320793e-14
5,9.444399006183305e-15
6,2.6028674302136414e-15
7,2.366560234121676e-15
8,1.810706579273638e-15
9,1.6931437847779432e-15
10,1.5180999904242186e-15
11,1.4046978973786822e-15
12,1.2269571493628724e-15
13,1.1166294542655043e-15
14,1.0750071970117156e-15
15,1.0060373917743246e-15
16,8.913920737600472e-16
17,8.473633038439034e-16
18,8.306010199024477e-16
19,8.18311678472259e-16
20,6.925595076209027e-16
21,6.674876105060792e-16
22,6.50161100572536e-16
23,5.602719993746608e-16
