bias_dim,singular_value
0,4360.637497477811
1,849.3550271187738
2,49.959818456192075
3,6.735377714327432e-11
4,6.6820474789452144e-12
5,1.0015230665408527e-12
6,6.78326083717384e-14
7,5.4353363807340196e-14
8,5.147851936901152e-14
9,4.54574714028365e-14
10,4.132993216639994e-14
11,3.817847078726919e-14
12,3.060739248770881e-14
13,2.620081566408403e-14
14,2.3158192565387825e-14
15,2.1735739832678264e-14
16,1.8771361104310184e-14
17,1.4848494095071397e-14
18,1.4171660413163564e-14
19,1.2564876056583942e-14
20,1.0519289573749731e-14
21,1.0289437495199349e-14
22,9.61136996434983e-15
23,7.53645733838264e-15
